count,country
1530571.00,ESP
367475.00,CHN
37685.00,CHL
12944.00,THA
691895.00,FRA
154739.00,COL
61972.00,IDN
14964.00,VNM
210076.00,
27525.00,MAR
115389.00,JOR
74669.00,SWE
43045.00,CHE
120997.00,PHL
122490.00,SVK
795011.00,LUX
773278.00,BRA
123689.00,NLD
2188915.00,CAN
11055.00,BEL
603775.00,IRL
202699.00,EGY
205278.00,CZE
364104.00,ZAF
4526.00,NOR
449922.00,MEX
12178.00,PRT
14316950.00,IND
118624.00,KOR
226001.00,ISR
20705.00,NZL
46242.00,HKG
2.00,BGR
7870.00,DNK
787644.00,ARE
3966125.00,GBR
426747.00,JPN
40328.00,ARG
3.00,LBN
4.00,HRV
72916.00,TWN
676942.00,CRI
467.00,PAK
417674.00,POL
20706.00,AUT
8250.00,FIN
42469973.00,USA
176042.00,ROU
1502901.00,DEU
103.00,SRB
190644.00,TUR
64154.00,BHR
272807.00,SAU
1236560.00,ITA
26305.00,MYS
4.00,GRC
662910.00,AUS
702764.00,SGP
